id,class
test.00596.au,hiphop
test.02436.au,reggae
test.02930.au,jazz
test.03364.au,country
test.03550.au,blues
test.04625.au,reggae
test.07561.au,hiphop
test.07642.au,country
test.09065.au,classical
test.09885.au,metal
test.12150.au,pop
test.13350.au,rock
test.16676.au,blues
test.17817.au,hiphop
test.18392.au,blues
test.18794.au,country
test.18828.au,reggae
test.19082.au,metal
test.21589.au,disco
test.23193.au,reggae
test.23211.au,blues
test.23301.au,disco
test.24620.au,pop
test.25407.au,pop
test.26050.au,hiphop
test.26581.au,blues
test.28540.au,country
test.28558.au,rock
test.29001.au,hiphop
test.29659.au,hiphop
test.30482.au,metal
test.30768.au,blues
test.32510.au,rock
test.32787.au,hiphop
test.33033.au,hiphop
test.33529.au,metal
test.34800.au,blues
test.34835.au,pop
test.34938.au,blues
test.36126.au,classical
test.39797.au,metal
test.41870.au,rock
test.43948.au,blues
test.44485.au,reggae
test.47303.au,disco
test.49246.au,metal
test.51339.au,rock
test.51932.au,classical
test.52165.au,blues
test.52376.au,reggae
test.53339.au,pop
test.54199.au,metal
test.56037.au,jazz
test.60352.au,reggae
test.62461.au,hiphop
test.62917.au,pop
test.64717.au,disco
test.65355.au,metal
test.66836.au,rock
test.67898.au,pop
test.68246.au,metal
test.68504.au,pop
test.68600.au,reggae
test.69645.au,country
test.70325.au,pop
test.70514.au,rock
test.70521.au,hiphop
test.70709.au,country
test.71178.au,rock
test.71558.au,hiphop
test.72738.au,pop
test.72918.au,hiphop
test.73325.au,classical
test.73749.au,reggae
test.76427.au,country
test.76541.au,reggae
test.77219.au,metal
test.79401.au,reggae
test.80325.au,blues
test.80446.au,reggae
test.80480.au,disco
test.81197.au,reggae
test.84038.au,classical
test.86647.au,rock
test.87593.au,metal
test.87812.au,metal
test.88839.au,pop
test.89176.au,country
test.89749.au,country
test.91278.au,blues
test.91579.au,reggae
test.93577.au,hiphop
test.94066.au,rock
test.94863.au,blues
test.95021.au,jazz
test.95763.au,metal
test.96483.au,pop
test.97080.au,classical
test.97638.au,country
test.97760.au,hiphop
